TEAM_ABBREVIATION,PLAYER_NAME,GP,AST,POTENTIAL_AST,AST_CONVERSION_RATE,TOTAL_pAST
SAS,Harrison Barnes,82,1.7,3.2,0.531,262.40000000000003
DEN,Michael Porter Jr.,77,2.1,3.2,0.656,246.4
SAS,Keldon Johnson,77,1.6,3.2,0.5,246.4
OKC,Aaron Wiggins,76,1.8,3.1,0.581,235.6
ORL,Wendell Carter Jr.,68,2.0,3.1,0.645,210.8
DAL,Max Christie,78,1.9,3.1,0.613,241.8
ORL,Goga Bitadze,70,2.0,3.1,0.645,217.0
OKC,Isaiah Joe,74,1.6,3.1,0.516,229.4
ORL,Tristan da Silva,74,1.5,3.0,0.5,222.0
ATL,Terance Mann,67,1.8,3.0,0.6,201.0
CHI,Dalen Terry,73,1.3,3.0,0.433,219.0
UTA,Brice Sensabaugh,71,1.5,3.0,0.5,213.0
SAC,Keon Ellis,80,1.5,3.0,0.5,240.0
MIL,Brook Lopez,80,1.8,2.9,0.621,232.0
MIL,AJ Green,73,1.5,2.9,0.517,211.7
GSW,Kevon Looney,76,1.6,2.8,0.571,212.79999999999998
MIA,Haywood Highsmith,74,1.5,2.8,0.536,207.2
MEM,Jaylen Wells,79,1.7,2.7,0.63,213.3
SAC,Keegan Murray,76,1.4,2.7,0.519,205.20000000000002
DET,Malik Beasley,82,1.7,2.7,0.63,221.4
HOU,Dillon Brooks,75,1.7,2.7,0.63,202.5
